Song,Core catalogue release(s),Songwriter(s),Lead vocal(s)[d],Year
Lucy in the Sky with Diamonds,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,Lennon,1967
Maggie Mae,Let It Be,"Traditional, arr.LennonMcCartneyHarrisonStarkey",Lennon(with McCartney),1970
Magical Mystery Tour,Magical Mystery Tour,LennonMcCartney,McCartney(with Lennon),1967
Martha My Dear,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968
Matchbox,Past Masters,Carl Perkins,Starr,1964
Maxwell's Silver Hammer,Abbey Road,LennonMcCartney,McCartney,1969
Mean Mr. Mustard,Abbey Road,LennonMcCartney,Lennon,1969
Michelle,Rubber Soul,LennonMcCartney,McCartney,1965
Misery,Please Please Me,LennonMcCartney,Lennon(with McCartney),1963
Money (That's What I Want),With the Beatles,Berry GordyJanie Bradford,Lennon,1963
Mother Nature's Son,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968
Mr. Moonlight,Beatles for Sale,Roy Lee Johnson,Lennon,1964
The Night Before,Help!,LennonMcCartney,McCartney,1965
No Reply,Beatles for Sale,LennonMcCartney,Lennon,1964
